"mesh3"	"YEAR"	"0_森林（人工林以外）"	"1_人工林"	"2_草地"	"3_農地"	"4_建物"	"5_水域"
51376094	2006	2.31492506307955	2137.03910239983	407.962698317147	0	0	0
51376094	2009	4.61845560540013	1948.32436749264	594.373902682012	0	0	0
51376094	2014	5.26636179993277	1947.67646129811	594.373902682012	0	0	0
51376094	2016	5.51568957603151	1947.42713352201	594.373902682012	0	0	0
51376094	2021	6.48160872189636	2063.2132309744	477.62188608376	0	0	0
51377001	1976	0	0	0	0	13177.0551649368	0
51377001	1987	0	0	0	0	13177.0551649368	0
51377001	1991	0	0	0	0	13177.0551649368	0
51377001	1997	0	0	0	0	13177.0551649368	0
51377001	2006	0	0	0	0	13177.0551649368	0
51377001	2009	0	0	0	0	13177.0551649368	0
51377001	2014	0	0	0	0	13177.0551649368	0
51377001	2016	0	0	0	0	13177.0551649368	0
51377001	2021	0	0	0	0	13177.0551649368	0
51377002	1976	628909.356250711	73387.9993477688	186572.297088763	89383.2998034429	0	0
51377002	1987	540431.836049208	79167.5648885824	187133.647927042	103927.241705368	67592.6619204862	0
51377002	1991	505347.333232604	81959.1806283066	156023.833085412	117461.302772182	117461.302772182	0
51377002	1997	537974.331266238	104528.65618412	137158.132555673	128500.597490072	70091.2349945845	0
51377002	2006	525803.68725956	148084.109494542	111621.674298453	134649.705855881	58093.7755822502	0
51377002	2009	460323.867673429	153448.949690265	79897.8789602906	162654.322751018	121927.933415683	0
51377002	2014	430578.780802306	209048.149672374	60183.2696219408	170942.42794454	107500.324449526	0
51377002	2016	408803.907700023	243958.849373958	48093.2433855352	177051.488582396	100345.463448774	0
51377002	2021	379282.648877851	277691.439215894	26078.625880145	186047.803817835	109152.434698961	0
51377003	1976	80464.0360118071	74072.5902187026	12994.4644501846	649305.362252	286996.591570947	0
51377003	1987	76821.8089229852	66676.486862488	24032.794895221	560998.718691708	375303.235131238	0
51377003	1991	97511.3906583224	74194.1214265779	23326.8970353403	426665.704821982	482134.930561417	0
51377003	1997	104255.689341476	67627.8966752587	17967.1109973213	384833.75576469	529148.591724894	0
51377003	2006	125010.693253623	65169.4160174719	8911.03297392714	588381.427972196	316360.474286422	0
51377003	2009	137941.361233337	46581.6913395455	3237.04705133032	578212.036761655	337860.908117772	0
51377003	2014	149485.392843118	29075.8349442361	6493.13555590377	756450.292262789	162328.388897594	0
51377003	2016	161765.490876378	16795.7369109758	6493.13555590377	756450.292262789	162328.388897594	0
51377003	2021	182889.984824623	0	5410.94629658647	753203.724484837	162328.388897594	0
51377004	1976	136542.745428593	219641.346127683	14841.0038148448	756891.194557085	0	0
51377004	1987	203847.459330617	151262.967371354	29424.0441798472	662040.994046562	81340.8249998251	0
51377004	1991	229840.56223826	132838.395448086	29014.3166149076	551272.015683245	184950.999943707	0
51377004	1997	315337.584427323	65035.2677834314	35692.7168976408	553406.651827873	158444.068991937	0
51377004	2006	413139.556419089	40476.0753690697	38657.2304994879	473862.825477593	161780.602162965	0
51377004	2009	445954.998658411	19881.3102312035	59836.9998199893	537403.9983833	64838.9828353012	0
51377004	2014	425466.41237357	0	61430.9793266652	552878.813939987	88140.084287983	0
51377004	2016	443497.353684689	0	64034.3772699818	576309.395429836	44075.1635436985	0
51377004	2021	448933.018367464	0	58070.9376992739	540506.420124011	80405.9137374562	0
51377005	1976	114651.73940837	31158.1711460434	81005.5058635629	162011.011727126	0	0
51377005	1987	79101.2951348048	25104.8224168979	63437.8266880268	137448.624490725	83733.8594146474	0
51377005	1991	70639.3650213768	12033.706643668	55325.1899071737	101429.514829818	149398.651743065	0
51377005	1997	65582.7241383884	8449.0080780568	58167.7895986355	79319.7130890484	177307.193240973	0
51377005	2006	95263.6399983955	4756.23269705973	61844.3487658922	74824.0269019436	152138.179781811	0
